heart_rate,acc_x,acc_y,acc_z,acceleration_magnitude,sound_level,time_of_day,label
94.8,0.048,0.103,-0.035,0.119,41.94,12,0
71.1,0.399,-0.175,0.713,0.835,34.25,23,0
71.84,0.996,2.042,-0.245,2.285,38.06,9,0
63.09,0.87,0.209,0.756,1.171,47.62,1,0
80.01,0.034,-0.53,-1.092,1.215,49.07,6,0
78.83,-0.42,0.243,0.177,0.517,55.97,4,0
60.38,-0.035,0.279,-0.05,0.285,37.45,21,0
67.51,0.712,0.7,-0.47,1.103,52.07,11,0
85.98,-0.286,0.52,-0.256,0.646,43.38,8,0
116.83,-0.442,-0.211,0.663,0.824,53.17,20,0
59.54,-0.074,-0.002,0.021,0.077,44.46,8,0
98.99,1.914,0.093,0.366,1.951,62.04,10,1
95.98,0.361,-0.363,-0.475,0.698,45.49,4,0
71.52,-0.839,-0.403,0.078,0.934,25.39,22,0
79.16,0.517,0.258,-0.06,0.581,42.04,9,0
95.56,-0.293,0.168,0.613,0.7,19.64,22,0
102.49,0.069,-0.054,0.153,0.176,29.57,7,0
122.54,-0.627,3.16,-1.881,3.73,92.91,14,2
121.19,0.104,-0.184,2.0,2.012,80.07,11,1
110.47,1.103,0.465,1.6,1.998,59.95,6,1
139.04,-0.842,0.68,-2.796,2.998,100.74,18,2
83.36,-1.417,0.565,-0.022,1.526,48.38,9,0
85.53,0.018,-0.034,0.12,0.126,55.53,12,0
157.91,-2.213,-1.229,3.068,3.977,90.04,11,2
125.63,0.359,-0.765,-1.21,1.476,57.0,7,0
159.72,1.603,1.468,1.19,2.478,88.18,16,2
97.13,0.052,-0.141,0.005,0.15,34.45,9,0
117.41,-1.134,0.136,0.439,1.224,70.81,17,1
97.28,0.122,0.396,0.155,0.443,60.25,2,0
101.14,-0.705,-1.619,-1.172,2.119,80.19,9,1
99.1,0.158,0.398,-0.872,0.971,22.29,10,0
74.94,-0.492,1.562,0.217,1.652,49.56,16,0
104.54,0.368,0.885,0.211,0.982,38.63,14,0
97.31,-0.15,-0.638,0.279,0.712,41.09,2,0
109.97,0.607,0.736,-2.253,2.446,68.35,2,1
57.4,-0.169,0.168,-0.108,0.262,53.33,19,0
62.56,-0.095,-0.007,-0.06,0.113,51.93,15,0
92.53,0.906,0.854,0.077,1.247,52.24,14,0
85.14,-1.051,0.66,-0.566,1.364,85.0,7,0
57.93,0.023,0.081,-0.045,0.096,35.63,10,0
89.09,0.378,-0.796,-0.094,0.886,56.37,12,0
99.46,0.718,1.129,0.83,1.574,38.38,9,0
100.85,-0.706,-0.551,0.921,1.285,65.48,9,1
69.5,0.057,2.036,-0.252,2.052,39.46,20,0
139.74,-1.141,2.731,-2.477,3.859,99.17,16,2
112.29,0.322,-0.091,0.164,0.373,30.06,6,0
63.47,0.219,-0.923,-0.552,1.098,24.82,1,0
77.77,0.136,-1.278,0.295,1.319,39.11,0,0
81.37,-0.451,-0.194,-0.392,0.628,38.71,19,0
90.84,-0.915,-0.245,0.747,1.206,34.99,22,0
91.49,1.859,0.487,0.567,2.003,36.7,5,0
112.04,0.289,-1.892,-1.376,2.357,79.93,10,1
79.32,-1.472,0.251,-0.614,1.614,29.81,15,0
96.04,-0.228,-2.016,-0.841,2.196,79.05,13,1
78.65,-0.261,-1.326,0.907,1.628,58.19,23,0
104.98,-2.228,0.29,0.226,2.258,77.02,2,1
61.62,-0.031,1.0,-0.895,1.343,51.37,16,0
156.9,4.093,-0.578,-0.928,4.236,88.07,7,2
